id;funcloc;material_number;equipment_description;status;sort_field;unique_id;qr_code_link;created_at
MGM000282;FP-01-PM7-DRY-GRP5-DC29;;DOCTOR;Installed;PM7.G5.DYC29/DR/GM;4646;https://www.safesave.info/MIC.php?id=Fajar-MotorList4646;2023-10-27 12:26:48
MGM000284;FP-01-PM7-DRY-GRP5-DC30;;DOCTOR;Installed;PM7.G5.DYC30/DR/GM;4647;https://www.safesave.info/MIC.php?id=Fajar-MotorList4647;2023-10-27 12:26:49
MGM000296;FP-01-PM7-DRY-GRP5-DC31;;DOCTOR;Installed;PM7.G5.DYC31/DR/GM;4648;https://www.safesave.info/MIC.php?id=Fajar-MotorList4648;2023-10-27 12:26:50
MGM000297;FP-01-PM7-DRY-GRP5-DC32;;DOCTOR;Installed;PM7.G5.DYC32/DR/GM;4649;https://www.safesave.info/MIC.php?id=Fajar-MotorList4649;2023-10-27 12:26:51
MGM000299;FP-01-PM7-DRY-GRP5-DC34;;DOCTOR;Installed;PM7.G5.DYC34/DR/GM;4650;https://www.safesave.info/MIC.php?id=Fajar-MotorList4650;2023-10-27 12:26:52
MDO000327;FP-01-PM7-DRY-GRP6-DC35;;DOCTOR;Installed;PM7.G6.DYC35/GB;4651;https://www.safesave.info/MIC.php?id=Fajar-MotorList4651;2023-10-27 12:26:53
MGM000692;FP-01-PM7-DRY-GRP6-DC36;;DOCTOR;Installed;PM7.G6.DYC36/DR/GM;4652;https://www.safesave.info/MIC.php?id=Fajar-MotorList4652;2023-10-27 12:26:54
MGM000298;FP-01-PM7-DRY-GRP5-DC33;;DOCTOR;Installed;PM7.G5.DYC33/DR/GM;4653;https://www.safesave.info/MIC.php?id=Fajar-MotorList4653;2023-10-27 12:26:55
MGM000302;FP-01-PM7-DRY-GRP6-DC38;;DOCTOR;Installed;PM7.G6.DYC38/DR/GM;4654;https://www.safesave.info/MIC.php?id=Fajar-MotorList4654;2023-10-27 12:26:56
MGM000303;FP-01-PM7-DRY-GRP6-DC39;;DOCTOR;Installed;PM7.G6.DYC39/DR/GM;4655;https://www.safesave.info/MIC.php?id=Fajar-MotorList4655;2023-10-27 12:26:57
