id;funcloc;material_number;equipment_description;status;sort_field;unique_id;qr_code_link;created_at
EMO001974;FP-01-WW1-DAF-TH07;;MOTOR;Install;WW1.DAF.SCP5/M;5146;https://www.safesave.info/MIC.php?id=Fajar-MotorList5146;
EMO001980;FP-01-WW1-DAF-TH08;;"AC MOTOR;380V,50Hz,3kW,4P,100L2";Install;WW1.DAF.SCP7/M;5147;https://www.safesave.info/MIC.php?id=Fajar-MotorList5147;
EMO001099;FP-01-SP5-OCC-T004-P018;10027649;"AC MOTOR;380V,50Hz,30kW,4P,200L,B3";Install;SP5.P-18/M;5148;https://www.safesave.info/MIC.php?id=Fajar-MotorList5148;
EMO001983;FP-01-WW1-DAF-TH09;;"AC MOTOR;380V,50Hz,3kW,4P,100L";Install;WW1.DAF.SCP8/M;5149;https://www.safesave.info/MIC.php?id=Fajar-MotorList5149;
EMO001662;FP-01-WW1-DAF-P251;10010668;"AC MOTOR;380V,50Hz,75kW,4P,250M,B3";Install;WW1.DAF.T(SCP8)/P2/M;5150;https://www.safesave.info/MIC.php?id=Fajar-MotorList5150;
EMO001546;FP-01-WW1-SLD-TH10;10010688;"AC MOTOR;380V,50Hz,37kW,6P,250S,B3";Install;WW1.SLD.THK1/M;5151;https://www.safesave.info/MIC.php?id=Fajar-MotorList5151;
EMO003318;FP-01-WW1-SLD-TH10;10011008;"AC MOTOR;380V,50Hz,0.55kW,4P,80M,B5";Install;WW1.SLD.THK1.SW/M;5152;https://www.safesave.info/MIC.php?id=Fajar-MotorList5152;
EMO004212;FP-01-WW1-SLD-P331;;"AC MOTOR;380V,50Hz,30kW,2P,200L,B3";Install;WW1.SLD.T330/P2(SW)ALGAS/M;5153;https://www.safesave.info/MIC.php?id=Fajar-MotorList5153;
EMO001004;FP-01-WW1-PRY-TH03;;"AC MOTOR;390V,50Hz,11kW,4P,160M";Install;WW1.TH03/NEW ALGAS/M;5154;https://www.safesave.info/MIC.php?id=Fajar-MotorList5154;
EMO001597;FP-01-WW1-SLD-TH11;10035821;"AC MOTOR;380V,50Hz,250kW,6P,315DC,B3";Install;WW1.SLD.SCREW_PRESS/M-27/M;5155;https://www.safesave.info/MIC.php?id=Fajar-MotorList5155;
EMO004993;FP-01-WW2-SLD-P200;10027257;"AC MOTOR;380V,50Hz,22kW,4P,180L,B3";Install;WW2.SLD.A/O.C7/P1(PB-191-A)/M;5156;https://www.safesave.info/MIC.php?id=Fajar-MotorList5156;
EMO002839;FP-01-WW2-SLD-P201;10010678;"AC MOTOR;380V,50Hz,22kW,4P,180L,B3";Install;WW2.SLD.A/O.C7/P2(PB-191-B)/M;5157;https://www.safesave.info/MIC.php?id=Fajar-MotorList5157;
EMO002055;FP-01-WW2-CHP-A310;;"MOTOR;0,75KW;1,87A";Install;WW2.A/O.T1(PLM)/AGT A/M;5158;https://www.safesave.info/MIC.php?id=Fajar-MotorList5158;
EMO002056;FP-01-WW2-CHP-A320;;"MOTOR;0,75KW;1,87A";Install;WW2.A/O.T2(PLM)/AGT B/M;5159;https://www.safesave.info/MIC.php?id=Fajar-MotorList5159;
MGM001094;FP-01-WW2-SLD-BP01;;"GR.MOTOR;2.2kW,i=228.93,FA87DRNL100L4/TF";Install;WW2.SLD.BELLMER1/GM/LOWER_BELT;5160;https://www.safesave.info/MIC.php?id=Fajar-MotorList5160;
MGM001095;FP-01-WW2-SLD-BP01;;"GR.MOTOR;2.2kW,i=228.93,FA87DRNL100L4/TF";Install;WW2.SLD.BELLMER1/GM/UPPER_BELT;5161;https://www.safesave.info/MIC.php?id=Fajar-MotorList5161;
MGM001096;FP-01-WW2-SLD-BP02;;"GR.MOTOR;2.2kW,i=228.93,FA87DRNL100L4/TF";Install;WW2.SLD.BELLMER2/GM/LOWER_BELT;5162;https://www.safesave.info/MIC.php?id=Fajar-MotorList5162;
MGM001097;FP-01-WW2-SLD-BP02;;"GR.MOTOR;2.2kW,i=228.93,FA87DRNL100L4/TF";Install;WW2.SLD.BELLMER2/GM/UPPER_BELT;5163;https://www.safesave.info/MIC.php?id=Fajar-MotorList5163;
EMO002654;;10010850;"AC MOTOR;380V,50Hz,55kW,6P,280M,B3";Available;SP1.PUL7/POIRE SCREEN/M;5164;https://www.safesave.info/MIC.php?id=Fajar-MotorList5164;
EMO002925;FP-01-WW2-SLD-P211;10010697;"AC MOTOR;380V,50Hz,18.5kW,2P,160L,B3";Install;WW2.SLD.A/O.C8/P2(PO-706-C)/M;5165;https://www.safesave.info/MIC.php?id=Fajar-MotorList5165;
EMO002011;FP-01-WW2-SLD-P210;10010697;"AC MOTOR;380V,50Hz,18.5kW,2P,160L,B3";Install;WW2.SLDA/O.C8/P1(PO-706-B)/M;5166;https://www.safesave.info/MIC.php?id=Fajar-MotorList5166;
EMO005396;FP-01-WW2-SLD-P213;;"AC MOTOR;380V,50Hz,7.5kW,2P,132S,B3";Install;WW2.SLD.A/O.C8/P4/M;5167;https://www.safesave.info/MIC.php?id=Fajar-MotorList5167;
EMO005129;FP-01-WW1-DAF-P260;10004794;"AC MOTOR;380V,50Hz,18.5kW,2P,160L,B3";Install;WW1.DAF.T(SCP2)/P(IN)/M;5168;https://www.safesave.info/MIC.php?id=Fajar-MotorList5168;
EMO005130;FP-01-WW1-DAF-P261;10004794;"AC MOTOR;380V,50Hz,18.5kW,4P,160L,B3";Install;WW1.DAF.T(SCP3)/P(IN)/M;5169;https://www.safesave.info/MIC.php?id=Fajar-MotorList5169;
EMO005131;FP-01-WW1-DAF-P262;10004794;"AC MOTOR;380V,50Hz,18.5kW,2P,160L,B3";Install;WW1.DAF.T(SCP4)/P(IN)/M;5170;https://www.safesave.info/MIC.php?id=Fajar-MotorList5170;
EMO005132;FP-01-WW1-DAF-P263;10004794;"AC MOTOR;380V,50Hz,18.5kW,2P,160L,B3";Install;WW1.DAF.T(SCP5)/P(IN)/M;5171;https://www.safesave.info/MIC.php?id=Fajar-MotorList5171;
EMO005133;FP-01-WW1-DAF-P270;10004794;"AC MOTOR;380V,50Hz,18.5kW,2P,160L,B3";Install;WW1.DAF.T(SCP7)/P(IN)/M;5172;https://www.safesave.info/MIC.php?id=Fajar-MotorList5172;
EMO005134;FP-01-WW1-DAF-P271;10004794;"AC MOTOR;380V,50Hz,18.5kW,2P,160L,B3";Install;WW1.DAF.T(SCP8)/P(IN)/M;5173;https://www.safesave.info/MIC.php?id=Fajar-MotorList5173;
EMO002290;FP-01-IN1-AFG-BL01;;FORCED DRAFT FAN MOTOR;Install;IN1.AFG.BL01/F.DRAFT.FAN/M;5401;https://www.safesave.info/MIC.php?id=Fajar-MotorList5401;
EMO004904;FP-01-IN1-AFG-BL02;10034552;"AC MOTOR;380V,50Hz,200kW,4P,315M,B3";Install;IN1.AFG.BL02/I.DRAFT.FAN/M;5402;https://www.safesave.info/MIC.php?id=Fajar-MotorList5402;
EMO002271;FP-01-IN1-INS-MDSY-NCDC;;MOTOR BED MEDIUM DISCHARGER;Install;IN1.INS.MDSY.NCDC/M/M-18;5403;https://www.safesave.info/MIC.php?id=Fajar-MotorList5403;
EMO002296;FP-01-IN1-ATF-GAHF;;MOTOR FOR  SCREW GAS AIR HEATER;Install;IN1-ATF-GAHF-M SCREW/M-10;5404;https://www.safesave.info/MIC.php?id=Fajar-MotorList5404;
EMO002297;FP-01-IN1-ATF-GAHF-RV06;;MOTOR FOR ROTARY VALV GAS AIR HEATR;Install;IN1.ATF.GAHF.RV06/M/M-11;5405;https://www.safesave.info/MIC.php?id=Fajar-MotorList5405;
EMO002281;FP-01-IN1-BIF-STDM-P050;;MOTOR FOR BOILER CIRCULATING PUMP 1;Install;IN1-BIF-STDM-P050/MBCP1/M-12A;5406;https://www.safesave.info/MIC.php?id=Fajar-MotorList5406;
EMO002282;FP-01-IN1-BIF-STDM-P051;10010539;"AC MOTOR;380V,50Hz,11kW,2P,160M,B3";Install;IN1-BIF-STDM-P051-MBCP2/M-12B;5407;https://www.safesave.info/MIC.php?id=Fajar-MotorList5407;
EMO002283;FP-01-IN1-BIF-FWTR-P040;;MOTOR FOR FEED WATER PUMP NO 1;Install;IN1.BIF.FWTR.P040/M/M-13A;5408;https://www.safesave.info/MIC.php?id=Fajar-MotorList5408;
EMO002284;FP-01-IN1-BIF-FWTR-P041;;MOTOR FOR FEED WATER PUMP NO 2;Install;IN1.BIF.FWTR.P041/M/M-13B;5409;https://www.safesave.info/MIC.php?id=Fajar-MotorList5409;
EMO002288;FP-01-IN1-BIF-CDOS-P030;;CHEMICAL DOZING PUMP MOTOR NO 1;Install;IN1.BIF.CDOS.P030/M-80A;5410;https://www.safesave.info/MIC.php?id=Fajar-MotorList5410;
EMO002289;FP-01-IN1-BIF-CDOS-P031;;CHEMICAL DOZING PUMP MOTOR NO 2;Install;IN1.BIF.CDOS.P031/M/M-80B;5411;https://www.safesave.info/MIC.php?id=Fajar-MotorList5411;
EMO002301;FP-01-IN1-MSF-CWSY-P080;;MOTOR FOR COOLING WATER PUMP NO 1;Install;IN1-MSF-CWSY-P080/M/M-31A;5412;https://www.safesave.info/MIC.php?id=Fajar-MotorList5412;
