emo_detail;manufacture;serial_number;type;power_rate;power_unit;voltage;current_nominal;frequency;pole;rpm;bearing_de;bearing_nde;frame_type;shaft_diameter;phase_supply;cos_phi;efficiency;ip_rating;insulation_class;duty;connection_type;nipple_grease;greasing_type;greasing_qty_de;greasing_qty_nde;length;width;height;weight;cooling_fan;mounting
EMO004910;TOSHIBA;E18ZA44HM;IDF-CHKW11;75;KW;420;128/125;"59 
71";4;1750-2100;6218;6218;250MD;;3;;;44;F;S1;Inverter;Available;;;;;;;;Internal;Horizontal
EMO004908;TOSHIBA;E18ZA39HM;IDF-CHKW11;75;KW;420;128/125;"59 
71";4;1750-2100;6218;6218;250MD;;3;;;44;F;S1;Inverter;Available;;;;;;;;Internal;Horizontal
EMO005185;TECO;H1067085050;AEEBKB;7,5;KW;380;15;50;2;2900;6308;6308;132;;3;;;55;F;S1 ;Delta;Not Available;;;;;;132;;Internal;Horizontal
EMO005184;TECO;H10620642081;AEEBKB;7,5;KW;380;15;50;2;2900;6308;6308;132;;3;;;55;F;S1 ;Delta;Not Available;;;;;;132;;Internal;Horizontal
MFB000192;GARDNER DENVER;;G-BH;25;KW;380;52;50;2;2930;;;;;3;;;55;F;S1;Delta;Not Available;;;;;;;;Internal;Vertical
EMO001607;TOSHIBA;D11X110ML;ICFT-CHK11;1000;KW;690;1000;"59 
70";6;1150-1380;6232;6230;450;;3;;;44;F;S1;Inverter;Available;;;;;;450;;;Horizontal
EMO001698;TOSHIBA;D11X100ML;ICFT-CHK11;1000;KW;690;1000;"59 
70";6;1150-1380;6232;6230;450;;3;;;44;F;S1;Inverter;Available;;;;;;450;;;Horizontal
EMO001700;TOSHIBA;E11X23HP;IDF-CHK11;450;KW;420;705/695;"59 
70";4;1750-2100;6224;6224;355H;;3;;;44;F;S1;Inverter;Available;;;;;;355;;;Horizontal
EMO000366;TOSHIBA;O5EVRKA1HF0301;ICFT-CHK11;335;KW;420/420;535/525;"59 
71";4;1750-2100;6220;6220;315 H;;3;;;44;F;S1;Inverter;Available;;;;;;315;;;Horizontal
EMO000364;TOSHIBA;50152004;TIKK;30;KW;420/420;53.5/52;60 /72;4;1750-2100;6312;6210;180 L;;3;;;44;F;S1;Inverter;Not Available;;;;;;180;;;Horizontal
EMO000365;TOSHIBA;05EURKC5HM2501;IDF-CHK11;150;KW;420/420;245/240;59 705;4;1750-2100;6220;6220;280 MD;;3;;;44;F;S1;Inverter;Available;;;;;;280;;;Horizontal
EMO000369;TOSHIBA;50132003;TIKK;15;KW;420;26//25;60 /72;;;6310;6208;;;3;;;44;F;S1;Inverter;Not Available;;;;;;;;;Horizontal
EMO000060;ZIHEL-ABEG;;;0,7;KW;500;1,5;50;4;1310;;;;;3;;;54;B;;;;;;;;;;;;
EMO000064;ZIHEL-ABEG;;;0,7;KW;500;1,5;50;4;1310;;;;;3;;;54;B;;;;;;;;;;;;
EMO001991;TECO;MN0175-1;AEEB;75;kW;380;140;50;4;1475;NU216;6213;250;70;3;;;55;F;S1;Delta;Available;;;;350;400;250;;Internal;Horizontal
EMO000116;ZIHEL-ABEG;;;0,7;KW;500;1,5;50;4;1310;;;;;3;;;54;B;;;;;;;;;;;;
EMO000118;ZIHEL-ABEG;;;0,7;KW;500;1,5;50;4;1310;;;;;3;;;54;B;;;;;;;;;;;;
EMO000119;ZIHEL-ABEG;;;0,7;KW;500;1,5;50;4;1310;;;;;3;;;54;B;;;;;;;;;;;;
EMO000120;ZIHEL-ABEG;;;0,7;KW;500;1,5;50;4;1310;;;;;3;;;54;B;;;;;;;;;;;;
EMO000258;ZIHEL-ABEG;;;0,7;KW;500;1,5;50;4;1310;;;;;3;;;54;B;;;;;;;;;;;;
EMO000263;ZIHEL-ABEG;;;0,7;KW;500;1,5;50;4;1310;;;;;3;;;54;B;;;;;;;;;;;;
EMO000264;ZIHEL-ABEG;;;0,7;KW;500;1,5;50;4;1310;;;;;3;;;54;B;;;;;;;;;;;;
EMO000266;ZIHEL-ABEG;;;0,7;KW;500;1,5;50;4;1310;;;;;3;;;54;B;;;;;;;;;;;;
EMO000340;ZIHEL-ABEG;;;0,7;KW;500;1,5;50;4;1310;;;;;3;;;54;B;;;;;;;;;;;;
EMO001851;TOSHIBA;05LZ4701HM0301;IDF-CHK11;280;KW;420;450;59;4;1750;6220;6220;280L;;3;;;44;F;S1;Inverter;Available;;;;;;280;;;Horizontal
EMO001850;TOSHIBA;05LZ4700HM0201;IDF-CHK11;280;KW;420;450;59;4;1750;6220;6220;280L;;3;;;44;F;S1;Inverter;Available;;;;;;280;;;Horizontal
EMO000047;TOSHIBA;54154168;IK;3,7;KW;380;8,2;50;6;930;6308;6306;132S;;3;;;44;B;S1;Inverter;Not Available;;;;;;132;;;Vertical
EMO002670;TOSHIBA;52292616;IDD-CHKM11;400;KW;390;750;68;6;600-1400;6228;6228;400L;;3;;;22;F;S1;Inverter;Available;;;;;;400;;;Horizontal
EMO003259;MITSUBISHI;B12494010113;HC-SFS102;1;KW;123;6;;2;2000;;;;;3;;;65;F;;;;;;;;;;;;
EMO001854;TOSHIBA;E11X280HF;IDF-CHK11;315;KW;420/420;570/535;505 60;4;1750-2100;6220;6220;355 H;;3;;;44;F;S1;Inverter;Available;;;;;;355;;;Horizontal
EMO002552;TOSHIBA;E11X240HM;IDF-CHK11;90;KW;420/420;165/155;"58 
69";4;1750-2100;6220;6220;280 MD;;3;;;44;F;S1;Inverter;Available;;;;;;280;;;Horizontal
EMO001853;TOSHIBA;;IDF-CHK11;315;KW;420/420;570/535;505 60;4;1750-2100;6220;6220;355 H;;3;;;44;F;S1;Inverter;Available;;;;;;355;;;Horizontal
EMO002671;TOSHIBA;D11X130ML;ICD-CHK11;560;KW;360/380;980/970;21 /65;4;1750-2100;6230;6230;450 1250;;3;;;44;F;S1;Inverter;Available;;;;;;450;;;Horizontal
EMO003258;TOSHIBA;14154332;IKK;5,5;KW;380;12,6;50;6;990;6308;6306;132 M;;3;;;44;B;S1;;;;;;;;;;;
EMO004911;TOSHIBA;E18ZA30HM;IDF-CHKW11;75;KW;420;128/125;"59 
71";4;1750-2100;6218;6218;250MD;;3;;;44;F;S1;Inverter;Available;;;;;;250;;;Horizontal
EMO004912;TOSHIBA;E18ZA46HM;IDF-CHKW11;75;KW;420;128/125;"59 
71";4;1750-2100;6218;6218;250MD;;3;;;44;F;S1;Inverter;Available;;;;;;250;;;Horizontal
EMO004913;TOSHIBA;E18ZA38HM;IDF-CHKW11;75;KW;420;128/125;"59 
71";4;1750-2100;6218;6218;250MD;;3;;;44;F;S1;Inverter;Available;;;;;;250;;Internal;Horizontal
EMO004914;TOSHIBA;E18ZA43HM;IDF-CHKW11;75;KW;420;128/125;"59 
71";4;1750-2100;6218;6218;250MD;;3;;;44;F;S1;Inverter;Available;;;;;;250;;;Horizontal
EMO004915;TOSHIBA;E18ZA36HM;IDF-CHKW11;75;KW;420;128/125;"59 
71";4;1750-2100;6218;6218;250MD;;3;;;44;F;S1;Inverter;Available;;;;;;250;;Internal;Horizontal
EMO004916;TOSHIBA;E18ZA33HM;IDF-CHKW11;75;KW;420;128/125;"59 
71";4;1750-2100;6218;6218;250MD;;3;;;44;F;S1;Inverter;Available;;;;;;250;;Internal;Horizontal
EMO004917;TOSHIBA;E18ZA32HM;IDF-CHKW11;75;KW;420;128/125;"59 
71";4;1750-2100;6218;6218;250MD;;3;;;44;F;S1;Inverter;Available;;;;;;250;;Internal;Horizontal
EMO004918;TOSHIBA;E18ZA31HM;IDF-CHKW11;75;KW;420;128/125;"59 
71";4;1750-2100;6218;6218;250MD;;3;;;44;F;S1;Inverter;Available;;;;;;250;;Internal;Horizontal
EMO000373;TOSHIBA;O5EVRKB5HM1501;IDF-CHK11;90;KW;420;150/145;"59 
71";4;1750-2100;6218;6218;250MD;;3;;;44;F;S1;Inverter;Available;;;;;;250;;Internal;Horizontal
EMO000388;TOSHIBA;O5EVRKB6HM160;IDF-CHK11;90;KW;420;150/145;"59 
71";4;1750-2100;6218;6218;250MD;;3;;;44;F;S1;Inverter;Available;;;;;;250;;Internal;Horizontal
EMO000479;TOSHIBA;O5EVRKB7HM1701;IDF-CHK11;90;KW;420;150/145;"59 
71";4;1750-2100;6218;6218;250MD;;3;;;44;F;S1;Inverter;Available;;;;;;250;;Internal;Horizontal
EMO000480;TOSHIBA;;IDF-CHK11;90;KW;420;150/145;"59 
71";4;1750-2100;6218;6218;250MD;;3;;;44;F;S1;Inverter;Available;;;;;;250;;Internal;Horizontal
EMO000597;TOSHIBA;O5EVRKB9;IDF-CHK11;90;KW;420;150/145;"59 
71";4;1750-2100;6218;6218;250MD;;3;;;44;F;S1;Inverter;Available;;;;;;250;;Internal;Horizontal
EMO000670;TOSHIBA;;IDF-CHK11;90;KW;420;150/145;"59 
71";4;1750-2100;6218;6218;250MD;;3;;;44;F;S1;Inverter;Available;;;;;;250;;Internal;Horizontal
EMO000700;TOSHIBA;;IDF-CHK11;90;KW;420;150/145;"59 
71";4;1750-2100;6218;6218;250MD;;3;;;44;F;S1;Inverter;Available;;;;;;250;;Internal;Horizontal
EMO000732;TOSHIBA;;IDF-CHK11;90;KW;420;150/145;"59 
71";4;1750-2100;6218;6218;250MD;;3;;;44;F;S1;Inverter;Available;;;;;;250;;Internal;Horizontal
EMO003733;TOSHIBA;;IKK-FCK8;7,5;KW;420;17,2;52;8;750;6310;6310;160L;;3;;;44;F;S1;Inverter;Not Available;;;;;;160;;Internal;Horizontal
EMO001846;TOSHIBA;OSEVRKDOHM0201;IDF-CHK11;90;KW;120/420;150/145;"59 
71";4;1750-2100;6218;6218;250MD;;3;;;44;F;S1;Inverter;Available;;;;;;250;;;Horizontal
EMO004919;TOSHIBA;E18ZA00HM;IDF-CHKW11;75;KW;420/420;128/125;"59 
71";4;1750-2100;6218;6218;250MD;;3;;;44;F;S1;Inverter;Available;;;;;;250;;;Horizontal
EMO004920;TOSHIBA;E18ZA44HM;IDF-CHKW11;75;KW;420;128/125;"59 
71";4;1750-2100;6218;6218;250MD;;3;;;44;F;S1;Inverter;Available;;;;;;250;;;Horizontal
EMO001848;TOSHIBA;05EURKA4HF0501;IDF-CHK11;355;KW;420/420;575/555;"59 
71";4;1750-2100;6220;6220;315 H;;3;;;44;F;S1;Inverter;Available;;;;;;315;;;Horizontal
EMO004921;TOSHIBA;E18ZA45HM;IDF-CHKW11;75;KW;420/420;128/125;"59 
71";4;1750-2100;6218;6218;250 MD;;3;;;44;F;S1;Inverter;Available;;;;;;250;;;Horizontal
EMO004922;TOSHIBA;E18ZA00HM;IDF-CHKW11;75;KW;420/420;128/125;"59 
71";4;1750-2100;6218;6218;250 MD;;3;;;44;F;S1;Inverter;Available;;;;;;250;;;Horizontal
EMO004923;TOSHIBA;E18ZA48HM;IDF-CHKW11;75;KW;420/420;128/125;"59 
71";4;1750-2100;6218;6218;250 MD;;3;;;44;F;S1;Inverter;Available;;;;;;250;;;Horizontal
EMO004924;TOSHIBA;E18ZA49HM;IDF-CHKW11;75;KW;420/420;128/125;"59 
71";4;1750-2100;6218;6218;250 MD;;3;;;44;F;S1;Inverter;Available;;;;;;250;;;Horizontal
EMO003469;TOSHIBA;;IKK-FCK8;7,5;KW;420;17,2;52;8;750;;;160 L;;3;;;44;F;S1;Inverter;Not Available;;;;;;160;;;Horizontal
EMO000371;HUADA;;Y2;22;KW;380;43,2;50;4;1470;;;180 L;;3;;;55;F;S1;Delta;Not Available;;;;;;180;;;Horizontal
EMO000786;TOSHIBA;;IKK-FCK8;7,5;KW;420;17,2;52;8;750;6310;6310;160L;;3;;;44;F;S1;Inverter;Not Available;;;;;;160;;Internal;Horizontal
EMO000787;TOSHIBA;;IKK-FCK8;7,5;KW;420;17,2;52;8;750;6310;6310;160L;;3;;;44;F;S1;Inverter;Not Available;;;;;;160;;Internal;Horizontal
