id;material_number;equipment_description;status;sort_field;unique_id;qr_code_link
EMO001855;10010665;"AC MOTOR;380V,50Hz,55kW,4P,250S,B3";Installed;PM3.H-05;1962;https://www.safesave.info/MIC.php?id=Fajar-MotorList1962
EMO000573;10010920;"AC MOTOR;380V,50Hz,37kW,4P,225S,B3";Installed;PM3.H-04/M;1963;https://www.safesave.info/MIC.php?id=Fajar-MotorList1963
EMO002617;;MOTOR;Installed;PM3.H-03;1964;https://www.safesave.info/MIC.php?id=Fajar-MotorList1964
EMO002616;;MOTOR;Installed;PM3.H-02;1965;https://www.safesave.info/MIC.php?id=Fajar-MotorList1965
EMO000990;10011059;"AC MOTOR;380V,50HZ,37KW,4P,B";Installed;PM3.H-01/M;1966;https://www.safesave.info/MIC.php?id=Fajar-MotorList1966
EMO002900;10011044;"AC MOTOR;380V,50Hz,45kW,4P,225M,B3";Installed;PM3.TRIM BLOWER 2/M;1967;https://www.safesave.info/MIC.php?id=Fajar-MotorList1967
EMO002883;;"MOTOR;7.5KW,15A";Installed;PM3.TRIM BLOWER 1/M;1968;https://www.safesave.info/MIC.php?id=Fajar-MotorList1968
EMO001044;;"AC MOTOR;380V,50Hz,55kW,4P,250M,B3";Installed;UTY.COM.MK.14/M;1969;https://www.safesave.info/MIC.php?id=Fajar-MotorList1969
EMO001043;;"MOTOR AC;55KW;104A;4P;380V;B";Installed;UTY.COM.MK.13/M;1970;https://www.safesave.info/MIC.php?id=Fajar-MotorList1970
EMO001042;;"MOTOR AC;75KW;139A;4P;380V;B";Installed;UTY.COM.MK.35/M;1971;https://www.safesave.info/MIC.php?id=Fajar-MotorList1971
EMO001041;;"MOTOR AC;75KW;139A;4P;380V;B";Installed;UTY.COM.MK.34/M;1972;https://www.safesave.info/MIC.php?id=Fajar-MotorList1972
EMO001040;;"MOTOR AC;75KW;139A;4P;380V;B";Installed;UTY.COM.MK.33/M;1973;https://www.safesave.info/MIC.php?id=Fajar-MotorList1973
EMO001039;;"MOTOR AC;75KW;139A;4P;380V;B";Installed;UTY.COM.MK.32/M;1974;https://www.safesave.info/MIC.php?id=Fajar-MotorList1974
EMO001038;;"AC MOTOR;380V,50Hz,75kW,4P,280S,B3";Installed;UTY.COM.MK.31/M;1975;https://www.safesave.info/MIC.php?id=Fajar-MotorList1975
EMO000951;10022242;"AC MOTOR;380V,50Hz,110kW,4P,315S,B3";Installed;PM3-BR09/P34/M;1976;https://www.safesave.info/MIC.php?id=Fajar-MotorList1976
EMO003512;10010712;"AC MOTOR;3000V,50Hz,300kW,6P,400AC,B3";Installed;PM3-BR09/AGT/M;1977;https://www.safesave.info/MIC.php?id=Fajar-MotorList1977
EMO000949;;"AC MOTOR;380V,50Hz,132kW,4P,315M,B3";Installed;PM3-BR08/P33/M;1978;https://www.safesave.info/MIC.php?id=Fajar-MotorList1978
EMO002931;10010708;"AC MOTOR;3000V,50HZ,300KW,6P,B";Installed;PM3-BR08/AGT/M;1979;https://www.safesave.info/MIC.php?id=Fajar-MotorList1979
EMO000947;;"AC MOTOR;380V,50Hz,110kW,4P,315S,B3";Installed;PM3-BR07/P32/M;1980;https://www.safesave.info/MIC.php?id=Fajar-MotorList1980
EMO000946;10010901;"AC MOTOR;380V,50HZ,45KW,6P,B";Installed;PM3-BR07/AGT2/M;1981;https://www.safesave.info/MIC.php?id=Fajar-MotorList1981
EMO000945;10010669;"AC MOTOR;380V,50HZ,75KW,6P,143A,B";Installed;PM3-BR07/AGT1/M;1982;https://www.safesave.info/MIC.php?id=Fajar-MotorList1982
EMO000944;10020524;"AC MOTOR;380V,50Hz,90kW,4P,280M,B3";Installed;PM3-BR06/P31/M;1983;https://www.safesave.info/MIC.php?id=Fajar-MotorList1983
