emo;manufacture;serial_number;type;power_rate;power_unit;voltage;current_nominal;frequency;pole;rpm;bearing_de;bearing_nde;frame_type;shaft_diameter;phase_supply;cos_phi;efficiency;ip_rating;insulation_class;duty;connection_type;nipple_grease;greasing_type;greasing_qty_de;greasing_qty_nde;length;width;height;weight;cooling_fan;mounting
EMO002590;TOSHIBA;54031669;IK;2.2;kW;380;5.1;50;6;950;6206;6207;112;;3;;;44;E;;Delta;Not Available;;;;140;190;112;;Internal;Horizontal
EMO002589;TECO;;AEEB;2.2;kW;380;5.1;50;6;970;6207;6206;112;;3;;;;;;Delta;Not Available;;;;140;190;112;;Internal;Horizontal
EMO000026;Asgen;353668;;2.2;kW;380;5.5;50;6;980;6207;6207;112;;3;;;;;;Delta;Not Available;;;;140;190;112;;Internal;Horizontal
EMO002591;TOSHIBA;54031975;IKK;7.5;kW;380;15.4;50;6;960;6310;6208;160;42;3;;;44;B;;Delta;Not Available;;;;310;254;160;;Internal;Horizontal
EMO002592;TOSHIBA;54031972;IKK;7.5;kW;380;15.4;50;6;960;6310;6208;160;42;3;;;44;B;;Delta;Not Available;;;;310;254;160;;Internal;Horizontal
EMO002593;TOSHIBA;54031974;IKK;7.5;kW;380;15.4;50;6;960;6310;6208;160M;42;3;;;44;B;;Delta;Not Available;;;;310;254;160;;Internal;Horizontal
EMO000090;ROTORNI;SA686379;XF;30;kW;380;59;50;4;1485;;;200L;55;3;;;54;F;S1;Delta;Available;;;;315;318;200;;Internal;Horizontal
EMO002566;TECO;1871001336B046;AEEB;30;kW;380;57;50;4;1460;6312;6212;200L;55;3;;;54;F;S1;Delta;Available;;;;315;318;200;;Internal;Horizontal
EMO003369;DREHSTORM;684379;;0.4;kW;380;1.7;50;4;1460;6204;6204;80A;;3;;;54;F;;Start;Not Available;;;;;;80;;Internal;Horizontal
EMO003370;BEVI;1,871E+13;;0.4;kW;380;1.7;50;4;1400;6204;6204;80A;;3;;;55;F;;Start;Not Available;;;;;;80;;Internal;Horizontal
EMO002565;HITACHI;D705954;TFO;7.5;kW;380;15.5;50;6;960;6309;6307;;;3;;;;B;;Delta;Not Available;;;;;;;;;
EMO002564;HITACHI;D705954;TFO;7.5;kW;380;15.5;50;6;9600;6309;6307;;;3;;;;B;;Delta;Not Available;;;;;;;;Internal;
EMO002626;TECO;P9508203;AEEB;55;kW;380;105;50;4;1470;NU216;6513;250S;70;3;;;55;F;;Delta;Available;;;;311;318;250;;Internal;Horizontal
EMO000229;WEG;;;5;HP;380;9.5;50;2;3000;;;;;3;;;55;F;S1;Delta;Not Available;;;;140;216;;;Internal;Horizontal
EMO002624;WEG;11696;;5;HP;380;9.5;50;2;3000;;;;;3;;;;;;Delta;Not Available;;;;140;216;;;Internal;Horizontal
EMO000774;TECO;;AEEB;7.5;kW;380;15;50;2;2900;6308;6306;132S;;3;;;55;F;;Delta;Not Available;;;;140;216;132;;Internal;Horizontal
EMO001944;TECO;P9527553;AEEB;110;kW;380;205;50;4;1480;NU218;6214;280M;;3;;;55;F;;Delta;Available;;;;419;457;280;;Internal;Horizontal
EMO002620;TECO;C56108-2;AEEB;110;kW;380;205;50;4;1480;NU318;6316;280M;;3;;;55;F;;Delta;Available;;;;411;457;280;;Internal;Horizontal
EMO002622;TECO;C72043-11;AEEB;110;kW;380;205;50;4;1480;NU318;6316;280MC;;3;;;55;F;;Delta;Available;;;;419;457;280;;Internal;Horizontal
EMO001855;TECO;MN60032-6;AEEB;55;kW;380;102;50;4;1425;6316;6213;250S;70;3;;;55;F;;Delta;Available;;;;311;406;250;;Internal;Horizontal
EMO000573;ABB;233;MBT;37;kW;380;74;50;4;1475;;;225S;60;3;;;55;F;;Delta;Available;;;;"311 
286";356;225;;Internal;Horizontal
EMO002617;TECO;P9508202;AEEB;55;kW;380;105;50;4;1470;NU216;6213;250S;70;3;;;55;F;;Delta;Available;;;;311;406;250;;Internal;Horizontal
EMO002616;TECO;P9508204;AEEB;55;kW;380;105;50;4;1470;NU216;6213;250S;70;3;;;55;F;;Delta;Available;;;;311;406;250;;Internal;Horizontal
EMO000990;TECO;75C340047;AEEB;37;kW;380;72.7;50;4;1465;6313;6213;225S;;3;;;55;F;;Delta;Available;;;;290;356;225;;Internal;Horizontal
EMO002900;TECO;P9527362;AEEB;45;kW;380;93;50;4;1455;6313;6213;225M;60;3;;;55;F;;Delta;Available;;;;311;356;225;;Internal;Horizontal
EMO002883;ABB;131;MBT;7.5;kW;380;16;50;4;1440;;;132;38;3;;;55;F;;Delta;Not Available;;;;"178 
140";216;132;;Internal;Horizontal
EMO001044;SCROCH;20668400425;KA7250M;55;kW;380;103;50;4;1475;;;250M;65;3;0.86;;54;F;S1;Delta;Available;;;;349;406;250;;Internal;Horizontal
EMO001043;SCROCH;20465401/12;KA7;55;kW;380;104;50;4;1475;;;250M;65;3;0.85;;54;F;S1;Delta;Available;;;;349;406;250;;Internal;Horizontal
