id;funcloc;material_number;equipment_description;status;sort_field;unique_id;qr_code_link;created_at
EMO000153;FP-01-PM1-COT-COAT-ACR1;;"AC MOTOR;380V,50HZ,15KW,30.7A";Installed;PM1.COT.JB/ACR/GB/M;382;https://www.safesave.info/MIC.php?id=Fajar-MotorList382;2023-10-26 14:51:19
EMO001001;FP-01-PM1-COT-COAT-ACR2;;"AC MOTOR;380V,50HZ,7.5KW,15.7A";Installed;PM1.COT.BMB/ACR/GB/M;383;https://www.safesave.info/MIC.php?id=Fajar-MotorList383;2023-10-26 14:51:20
EMO002865;FP-01-PM1-COT-HAD1-BL16;;MOTOR,AC,250M/4,ASGEN,55KW,102A,4P,380V;Installed;PM1.HAD1.FDF/M;384;https://www.safesave.info/MIC.php?id=Fajar-MotorList384;2023-10-26 14:51:21
EMO000031;FP-01-PM1-COT-HAD2-BL17;;"MOTOR AC ASGEN ;75KW;129A;4P;380V";Installed;PM1.HAD2.FDF/M;385;https://www.safesave.info/MIC.php?id=Fajar-MotorList385;2023-10-26 14:51:22
EMO000162;FP-01-PM1-COT-HAD3-BL18;;"AC MOTOR;TECO,AEEB,30KW,59A,4P,380V,B";Installed;PM1.HAD3/FDF/M;386;https://www.safesave.info/MIC.php?id=Fajar-MotorList386;2023-10-26 14:51:23
EMO000163;FP-01-PM1-COT-HAD3-BL19;;"MOTOR;7.5KW";Installed;PM1.HAD3/IDF/M;387;https://www.safesave.info/MIC.php?id=Fajar-MotorList387;2023-10-26 14:51:24
EMO000164;FP-01-PM1-COT-SR33;;"MOTOR;0,12KW;O,41A";Installed;PM1.COT.VIS1/M;388;https://www.safesave.info/MIC.php?id=Fajar-MotorList388;2023-10-26 14:51:25
EMO000166;FP-01-PM1-COT-SR35;;"AC MOTOR;380V,50HZ,1.5KW,4P";Installed;PM1.COT.VIS3/M;389;https://www.safesave.info/MIC.php?id=Fajar-MotorList389;2023-10-26 14:51:26
EMO000168;FP-01-PM1-COT-SR37;;"AC MOTOR;380V,50HZ,1.5KW,4P";Installed;PM1.COT.VIS5/M;390;https://www.safesave.info/MIC.php?id=Fajar-MotorList390;2023-10-26 14:51:27
EMO003504;FP-01-PM1-COT-SR43;;MOTOR,TENV/5071,AMKCO,2,5HP,4,2A,4P;Installed;PM1.COT.ETR 25;391;https://www.safesave.info/MIC.php?id=Fajar-MotorList391;2023-10-26 14:51:28
EMO000729;FP-01-PM1-COT-T192-A057;;"AC MOTOR;380V,50Hz,7.5kW,6P,160M,B3";Installed;PM1.COT.T/AGT/M;392;https://www.safesave.info/MIC.php?id=Fajar-MotorList392;2023-10-26 14:51:29
EMO000171;FP-01-PM1-COT-T193-A058;;"MOTOR AC ;55KW;106A";Installed;PM1.COT.T(DIS)/AGT/M;393;https://www.safesave.info/MIC.php?id=Fajar-MotorList393;2023-10-26 14:51:30
EMO000172;FP-01-PM1-COT-T194-A059;;"MOTOR AC;2,2KW;4,87A;4P;380V;V";Installed;PM1.COT.T(DST)/AGT/M;394;https://www.safesave.info/MIC.php?id=Fajar-MotorList394;2023-10-26 14:51:31
EMO000173;FP-01-PM1-COT-T195-A060;;"MOTOR AC;2,2KW;4,87A;4P;380V;V";Installed;PM1.COT.T(CS)/AGT/M;395;https://www.safesave.info/MIC.php?id=Fajar-MotorList395;2023-10-26 14:51:32
EMO000174;FP-01-PM1-COT-T196-A061;;"MOTOR AC;2,2KW;4,87A;4P;380V;V";Installed;PM1.COT.T(LBR)/AGT/M;396;https://www.safesave.info/MIC.php?id=Fajar-MotorList396;2023-10-26 14:51:33
EMO000175;FP-01-PM1-COT-T197-A062;;"MOTOR AC;2,2KW;4,87A;4P;380V;V";Installed;PM1.COT.T(OBA)/AGT/M;397;https://www.safesave.info/MIC.php?id=Fajar-MotorList397;2023-10-26 14:51:34
EMO000176;FP-01-PM1-COT-T198-A063;;"MOTOR AC;2,2KW;4,87A;4P;380V;V";Installed;PM1.COT.T(HRD)/AGT/M;398;https://www.safesave.info/MIC.php?id=Fajar-MotorList398;2023-10-26 14:51:35
EMO000177;FP-01-PM1-COT-T199-A064;;"MOTOR AC;2,2KW;4,87A;4P;380V;V";Installed;PM1.COT.T(ATF)/AGT/M;399;https://www.safesave.info/MIC.php?id=Fajar-MotorList399;2023-10-26 14:51:36
EMO000178;FP-01-PM1-COT-T200-A065;;"MOTOR AC;2,2KW;4,87A;4P;380V;V";Installed;PM1.COT.T(STR)/AGT/M;400;https://www.safesave.info/MIC.php?id=Fajar-MotorList400;2023-10-26 14:51:37
EMO000179;FP-01-PM1-COT-T201-A066;;"MOTOR AC;2,2KW;4,87A;4P;380V;V";Installed;PM1.COT.T(DYE)/AGT/M;401;https://www.safesave.info/MIC.php?id=Fajar-MotorList401;2023-10-26 14:51:38
EMO000180;FP-01-PM1-COT-T202-A067;;"MOTOR AC;2,2KW;4,87A;4P;380V;V";Installed;PM1.COT.T(BIO)/AGT/M;402;https://www.safesave.info/MIC.php?id=Fajar-MotorList402;2023-10-26 14:51:39
EMO000050;FP-01-PM1-COT-T204-A069;;"MOTOR AC;0.75KW;1.85A;4P;380V;V";Installed;PM1.COT.T(CMC)2/AGT/M;403;https://www.safesave.info/MIC.php?id=Fajar-MotorList403;2023-10-26 14:51:40
EMO003375;FP-01-PM1-COT-T206-A071;;"MOTOR AC;4KW;8.3A;4P;380V;V";Installed;PM1.COT.T(STA)1/AGT/M;404;https://www.safesave.info/MIC.php?id=Fajar-MotorList404;2023-10-26 14:51:41
EMO000187;FP-01-PM1-COT-T207-A072;;"MOTOR;3,7KW;7,64A";Installed;PM1.COT.T(STA)2AGT/M;405;https://www.safesave.info/MIC.php?id=Fajar-MotorList405;2023-10-26 14:51:42
EMO000188;FP-01-PM1-COT-T208-A073;;"MOTOR AC;73/110KW;150/190A;4P;380V;V";Installed;PM1.COT.T(DEL)/AGT/M;406;https://www.safesave.info/MIC.php?id=Fajar-MotorList406;2023-10-26 14:51:43
EMO000190;FP-01-PM1-COT-T209-A074;;"AC MOTOR TECO ;380V,50HZ,15KW";Installed;PM1.COT.T1/AGT/M;407;https://www.safesave.info/MIC.php?id=Fajar-MotorList407;2023-10-26 14:51:44
EMO002924;FP-01-PM1-COT-T210-A075;;"MOTOR AC;CGE CA112M4 5,5HP;9A;4P;380V;V";Installed;PM1.COT.T4/AGT/M;408;https://www.safesave.info/MIC.php?id=Fajar-MotorList408;2023-10-26 14:51:45
EMO003765;FP-01-FN1-CUT-SC05-5CU1-CC01;;MOTOR KNIFE SLAVE / 055MS1;Installed;FN1.SC05.5CU1/CC01/M;409;https://www.safesave.info/MIC.php?id=Fajar-MotorList409;2023-10-26 14:51:46
EMO000201;FP-01-PM1-COT-T213-A078;;"MOTOR AC TECO AEEB ;4KW;9,1A;38V;V";Installed;PM1.COT.T2/AGT/M;410;https://www.safesave.info/MIC.php?id=Fajar-MotorList410;2023-10-26 14:51:47
EMO000202;FP-01-PM1-COT-T214-A079;;"AC MOTOR ABB M3AA ;380V,4KW,8.9A VH";Installed;PM1.COT.T3/AGT/M;411;https://www.safesave.info/MIC.php?id=Fajar-MotorList411;2023-10-26 14:51:48
EMO000191;FP-01-PM1-COT-T209-P209;;"MOTOR AC;10HP;16A;6P;380V;B";Installed;PM1.COT.T1/P(MN)1/M;412;https://www.safesave.info/MIC.php?id=Fajar-MotorList412;2023-10-26 14:51:49
EMO000196;FP-01-PM1-COT-T211-P212;;"AC MOTOR;380V,50HZ,11KW,4P,B";Installed;PM1.COT.T5/P1/M;413;https://www.safesave.info/MIC.php?id=Fajar-MotorList413;2023-10-26 14:51:50
EMO000199;FP-01-PM1-COT-T212-P214;;"MOTOR AC;11KW;22A;4P;380V;B";Installed;PM1.COT.T6/P(MN)1/M;414;https://www.safesave.info/MIC.php?id=Fajar-MotorList414;2023-10-26 14:51:51
EMO000200;FP-01-PM1-COT-T212-P215;;"MOTOR;15HP,380V,3P,H";Installed;PM1.COT.T6/P(MN)2/M;415;https://www.safesave.info/MIC.php?id=Fajar-MotorList415;2023-10-26 14:51:52
EMO000228;FP-01-PM1-EFF-T265-P276;GS8950491;"MOTOR AC;18,5KW;37A;4P;380V;B";Installed;PM1.EFF.PIT2/P1/M;416;https://www.safesave.info/MIC.php?id=Fajar-MotorList416;2023-10-26 14:51:53
EMO000230;FP-01-PM1-HOO-BUR2-BL11;;"MOTOR AC;3,7KW;9,3A;2P;380V;B";Installed;PM1.HOO.BUR2/FDF/M;417;https://www.safesave.info/MIC.php?id=Fajar-MotorList417;2023-10-26 14:51:54
EMO000233;FP-01-PM1-HOO-ECO1-BL12;;"MOTOR AC;TECO;AEEBPA;110KW;205A;4P;380V;B";Installed;PM1.HOO.ECO1/FDF/M;418;https://www.safesave.info/MIC.php?id=Fajar-MotorList418;2023-10-26 14:51:55
EMO004905;FP-01-PM1-HOO-ECO1-BL13;;"MOTOR AC;TECO;AEEB ;55KW;105A;4P;380V;B";Installed;PM1.HOO.ECO1/IDF/M;419;https://www.safesave.info/MIC.php?id=Fajar-MotorList419;2023-10-26 14:51:56
EMO002694;FP-01-PM1-HOO-ECO2-BL14;;"MOTOR AC;110KW;205A;4P;380V;B";Installed;PM1.HOO.ECO2/FDF/M;420;https://www.safesave.info/MIC.php?id=Fajar-MotorList420;2023-10-26 14:51:57
EMO000235;FP-01-PM1-HOO-BL20;;"MOTOR;37KW;72,7A";Installed;PM1.HOO.IDF1/M;421;https://www.safesave.info/MIC.php?id=Fajar-MotorList421;2023-10-26 14:51:58
EMO000239;FP-01-PM1-LUB-T267-P280;;"MOTOR AC ABB MBT;7,5KW;16,4A;4P;380V;V";Installed;PM1.LUB.T2/P2/M;422;https://www.safesave.info/MIC.php?id=Fajar-MotorList422;2023-10-26 14:51:59
EMO000242;FP-01-PM1-LUB-T269-P283;;"MOTOR AC ABB MBT;4KW;9,1A;4P;380V;V";Installed;PM1.LUB.T4/P1/M;423;https://www.safesave.info/MIC.php?id=Fajar-MotorList423;2023-10-26 14:52:00
EMO000243;FP-01-PM1-LUB-T269-P284;;"MOTOR AC ABB MBT;4KW;9,1A;4P;380V;V";Installed;PM1.LUB.T4/P2/M;424;https://www.safesave.info/MIC.php?id=Fajar-MotorList424;2023-10-26 14:52:01
EMO000244;FP-01-PM1-LUB-T270-P285;;"MOTOR AC ABB MBT;7,5KW;16,4A;4P;380V;V";Installed;PM1.LUB.T5/P1/M;425;https://www.safesave.info/MIC.php?id=Fajar-MotorList425;2023-10-26 14:52:02
