"id";"tag_name";"created_at";"updated_at"
"FP-01-CH8-CAT-A885";"CH8.CAT.CH8AS07/M";"2023-10-21 12:19:21";NULL
"FP-01-CH8-CAT-P870";"CH8.CAT.CH8PC06/M";"2023-10-21 12:19:21";NULL
"FP-01-CH8-CAT-P880";"CH8.CAT.CH8PV08/M";"2023-10-21 12:19:21";NULL
"FP-01-CH8-CAT-P881";"CH8.CAT.CH8PV09/M";"2023-10-21 12:19:21";NULL
"FP-01-CH8-CAT-P885";"CH8.CAT.CH8PV10/M";"2023-10-21 12:19:21";NULL
"FP-01-CH8-CAT-P886";"CH8.CAT.CH8PV11/M";"2023-10-21 12:19:21";NULL
"FP-01-CH8-CHA-HST1";"CH8.STA/CH8PL01";"2023-10-21 12:19:21";NULL
"FP-01-CH8-CHA-HST2";"CH8.CHA/CH8PL02";"2023-10-21 12:19:21";NULL
"FP-01-CH8-EFF-P530";"CH8.P–SK–1/M";"2023-10-21 12:19:21";NULL
"FP-01-CH8-FWS-P520";"CH8.FWS.CH8PC07/M";"2023-10-21 12:19:21";NULL
"FP-01-CH8-FWS-P521";"CH8.FWS.CH8PC08/M";"2023-10-21 12:19:21";NULL
"FP-01-CH8-STA-A810";"CH8.STA.CH8AM01/M";"2023-10-21 12:19:21";NULL
"FP-01-CH8-STA-A820";"CH8.STA.CH8AS01/M";"2023-10-21 12:19:21";NULL
"FP-01-CH8-STA-A830";"CH8.STA.CH8AS02/M";"2023-10-21 12:19:21";NULL
"FP-01-CH8-STA-A840";"CH8.STA.CH8AR01/M";"2023-10-21 12:19:21";NULL
"FP-01-CH8-STA-CN01";"CH8.STA/CH8SC01";"2023-10-21 12:19:21";NULL
"FP-01-CH8-STA-P810";"CH8.STA.CH8PC01/M";"2023-10-21 12:19:21";NULL
"FP-01-CH8-STA-P820";"CH8.STA.CH8PV01/M";"2023-10-21 12:19:21";NULL
"FP-01-CH8-STA-P825";"CH8.STA.CH8PX01/M";"2023-10-21 12:19:21";NULL
"FP-01-CH8-STA-P830";"CH8.STA.CH8PV03/M";"2023-10-21 12:19:21";NULL
"FP-01-CH8-STA-P831";"CH8.STA.CH8PV04/M";"2023-10-21 12:19:21";NULL
"FP-01-CH8-STA-P832";"CH8.STA.CH8PV05/M";"2023-10-21 12:19:21";NULL
"FP-01-CH8-STA-P840";"CH8.STA.CH8PV06/M";"2023-10-21 12:19:21";NULL
"FP-01-CH8-WWS-P540";"CH8.WWS.CH8PC02/M";"2023-10-21 12:19:21";NULL
"FP-01-CH8-WWS-P541";"CH8.WWS.CH8PC03/M";"2023-10-21 12:19:21";NULL
"FP-01-FN1-CUT-CYK1";"FIN1.CYKLOP 1.STOPER TABLE/GM";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-CYK2";"FIN1.CYKLOP 2.STOPER TABLE/GM";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-HC01";"MSN.HAND CUTTER 1/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-HC02";"MSN.HAND CUTTER 2/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-RWD1";"FIN1.YUELI.BLW(TRIM)/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-SC01-CRN1-HST1";"SIMPLEX 1.9/HOISKONE 3.2T/GB/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-SC02";"SIMPLEX 2.6/LAYBOY/BLW2/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-SC02-CRN1-HST1";"SIMPLEX 2.6/HOISDEMAG 4T/GB/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-SC03";"SIMPLEX 2.8/BLW(TRIM)/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-SC03-CRN1-HST1";"SIMPLEX 2.8/HOIS DEMAG 5T/GB/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-SC04";"DUPLEX 3.6/BLW DC/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-SC04-CRN1-HST1";"DUPLEX 3.6/HOIST 1 KONE 8T/GB";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-SC04-CRN1-HST2";"DUPLEX 3.6/HOIST 2 KONE 8T/GB";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-SC05-3DU1-DJ1A";"FN1.SC05.3DU1/DJ1A/GM/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-SC05-3DU1-DJ1B";"FN1.SC05.3DU1/DJ1B/GM/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-SC05-4DU2-DJ2A";"FN1.SC05.4DU2/DJ1B/GM/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-SC05-4DU2-DJ2B";"FN1.SC05.4DU2/DJ2B/GM/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-SC05-5CU1-BL04";"FN1.SC05.5CU1.BL04/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-SC05-5CU1-CC01";"FN1.SC05.5CU1/CC01/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-SC05-5CU1-CC02";"FN1.SC05.5CU1/CC02/M.FAN";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-SC05-5CU1-MD01";"FN1.SC05.5CU1/MD01/M.FAN";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-SC05-6CN2-BL01";"FN1.SC05.6CN2/BL01/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-SC05-6CN2-BL02";"FN1.SC05.6CN2/BL02/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-SC05-6CN2-BL03";"FN1.SC05.6CN2/BL03/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-SC05-6CN2-DP01";"FN1.SC05.6CN2/DP01/GM/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-SC05-6CN2-LF01";"FN1.SC05.6CN2/LF01/GM/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-SC05-6CN2-RG01";"FN1.SC05.6CN2/RG01/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-SC05-6CN2-SB01";"FN1.SC05.6CN2/SB01/GM/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-SC05-6CN2-SB02";"FN1.SC05.6CN2/SB02/GM/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-SC05-6CN2-TF01";"FN1.SC05.6CN2/TF01/GM/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-WRP1";"WRAPPING 1/OPTR TABLE/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-WRP2";"WRAPPING 2/HP4-17/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-WRP3-FC01-LC01";"FN1.WRP3.FC01.LC01/LOAD1/GM/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-WRP3-FC01-LC02";"FN1.WRP3.FC01.LC02/LOAD2/GM/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-WRP3-FC01-LF01";"FN1.WRP3.LF01(F/R)/GM/M";"2023-10-26 14:45:21";NULL
"FP-01-FN1-CUT-WRP3-FC01-RC01";"FN1.WRP3.FC01.RC01/R1/GM/M";"2023-10-26 14:45:21";NULL
