"id";"funcloc";"material_number";"equipment_description";"status";"sort_field";"unique_id";"qr_code_link";"created_at";"updated_at"
"EMO000037";"FP-01-PM1-STA-T235-A088";;"MOTOR;15HP;11KW;23,7A";"Installed";"CH1.STA.T4/AGT/M";"326";"https://www.safesave.info/MIC.php?id=Fajar-MotorList326";"2023-10-26 14:45:21";NULL
"EMO000039";"FP-01-PM1-STA-T243-A095";;"AC MOTOR,380V,50HZ,11KW,6P";"Installed";"CH1.STA.T13/AGT/M";"330";"https://www.safesave.info/MIC.php?id=Fajar-MotorList330";"2023-10-26 14:45:21";NULL
"EMO000042";"FP-01-CH1-STA-T234-A087";;"MOTOR;7.5KW";"Installed";"CH1.STA.T3/AGT/M";"580";"https://www.safesave.info/MIC.php?id=Fajar-MotorList580";"2023-10-26 14:45:21";NULL
"EMO000048";"FP-01-PM1-STA-T239-P245";;"AC MOTOR,380V,50HZ,4KW,4P";"Installed";"CH1.STA.T8/P3/M";"336";"https://www.safesave.info/MIC.php?id=Fajar-MotorList336";"2023-10-26 14:45:21";NULL
"EMO000050";"FP-01-PM1-COT-T204-A069";;"MOTOR AC;0.75KW;1.85A;4P;380V;V";"Installed";"PM1.COT.T(CMC)2/AGT/M";"403";"https://www.safesave.info/MIC.php?id=Fajar-MotorList403";"2023-10-26 14:45:21";NULL
"EMO000051";"FP-01-SP1-CLD-SR21";;"AC MOTOR;380V,50Hz,4kW,4P,112M,B3";"Installed";"SP1.CL.JNS1/M";"100";"https://www.safesave.info/MIC.php?id=Fajar-MotorList100";"2023-10-26 14:45:21";NULL
"EMO000053";"FP-01-PM1-STA-T241-A093";;"MOTOR";"Installed";"CH1.STA.T10/AGT/M";"468";"https://www.safesave.info/MIC.php?id=Fajar-MotorList468";"2023-10-26 14:45:21";NULL
"EMO000054";"FP-01-PM1-STA-T241-P247";;"MOTOR;4KW";"Installed";"CH1.STA.T10/P1/M";"338";"https://www.safesave.info/MIC.php?id=Fajar-MotorList338";"2023-10-26 14:45:21";NULL
"EMO000057";"FP-01-PM1-STA-T243-P251";;"MOTOR;11KW";"Installed";"CH1.STA.T13/P1/M";"339";"https://www.safesave.info/MIC.php?id=Fajar-MotorList339";"2023-10-26 14:45:21";NULL
"EMO000061";"FP-01-SP3-OCC-TH04";"10010918";"AC MOTOR;380V,50Hz,11kW,4P,160M,B3";"Installed";"SP3.SP.25/GB1/M";"1818";"https://www.safesave.info/MIC.php?id=Fajar-MotorList1818";"2023-10-21 12:19:21";NULL
"EMO000070";"FP-01-PM1-AP1-T149-A037";;"MOTOR AC TECO AEEB ;22KW;45,9A;6P;380V;200L,B3";"Installed";"PM1.APP1.C(BL)/AGT/M";"259";"https://www.safesave.info/MIC.php?id=Fajar-MotorList259";"2023-10-26 14:45:21";NULL
"EMO000073";"FP-01-PM1-AP1-T151-P169";;"AC MOTOR ABB ;380V,50HZ,55KW,6P,B";"Installed";"PM1.APP1.SL/P(FN)/M";"271";"https://www.safesave.info/MIC.php?id=Fajar-MotorList271";"2023-10-26 14:45:21";NULL
"EMO000074";"FP-01-PM1-AP4-T168-P187";;"MOTOR;AC ABB ,7.5KW,15A,4P,380V,B";"Installed";"PM1.APP4.T1/P1/M";"289";"https://www.safesave.info/MIC.php?id=Fajar-MotorList289";"2023-10-26 14:45:21";NULL
"EMO000075";"FP-01-PM1-AP1-T153-P171";;"AC MOTOR TECO ;380V,50HZ,11KW,4P,B";"Installed";"PM1.APP1.T2/P1/M";"273";"https://www.safesave.info/MIC.php?id=Fajar-MotorList273";"2023-10-26 14:45:21";NULL
"EMO000076";"FP-01-SP3-OCC-SR02";;"AC MOTOR;380V,50Hz,55kW,4P,250S,B3";"Installed";"SP3.SP.20/M";"1870";"https://www.safesave.info/MIC.php?id=Fajar-MotorList1870";"2023-10-21 12:19:21";NULL
"EMO000077";"FP-01-PM1-AP2-T154-A039";;"MOTOR AC TECO AEEB ;22KW;45,9A;6P;380V;200L,B3";"Installed";"PM1.APP2.C(BL)/AGT/M";"261";"https://www.safesave.info/MIC.php?id=Fajar-MotorList261";"2023-10-26 14:45:21";NULL
"EMO000080";"FP-01-SP1-MXW-T057-A018";;"MOTOR AC TECO AEEB;22KW;44,5A;6P;380V;B";"Installed";"SP1.MW.C5/AGT1/M";"163";"https://www.safesave.info/MIC.php?id=Fajar-MotorList163";"2023-10-26 14:45:21";NULL
"EMO000082";"FP-01-PM1-AP2-T155-P173";;"AC MOTOR;30KW,4P,380V;B";"Installed";"PM1.APP2.C(MC)/P1/M";"275";"https://www.safesave.info/MIC.php?id=Fajar-MotorList275";"2023-10-26 14:45:21";NULL
"EMO000083";"FP-01-PM1-AP2-T156-P174";;"MOTOR AC TECO ;90KW;169A;6P;380V;B";"Installed";"PM1.APP2.SL/P(FN)/M";"276";"https://www.safesave.info/MIC.php?id=Fajar-MotorList276";"2023-10-26 14:45:21";NULL
"EMO000085";"FP-01-SP1-CLD-T087-A033";;"AC MOTOR;TECO380V,50Hz,22kW,6P,200L,B3";"Installed";"SP1.CL.C16/AGT/M";"85";"https://www.safesave.info/MIC.php?id=Fajar-MotorList85";"2023-10-26 14:45:21";NULL
