emo_detail;manufacture;serial_number;type;power_rate;power_unit;voltage;current_nominal;frequency;pole;rpm;bearing_de;bearing_nde;frame_type;shaft_diameter;phase_supply;cos_phi;efficiency;ip_rating;insulation_class;duty;connection_type;nipple_grease;greasing_type;greasing_qty_de;greasing_qty_nde;length;width;height;weight;cooling_fan;mounting
EMO004348;Oy fromberg AB;4511079;HXUR;132;kW;380;245;50;4P;1485;6319;6316;315;;3;0.88;;55;Class F;S1;Delta;Available;;;;350;400;315S;;Internal;Horizontal
EMO004349;Oy fromberg AB;4516292;HXUR;132;kW;380;245;50;4P;1480;6319;6316;315;;3;0.88;;55;Class F;S1;Delta;Available;;;;405;500;315S;;Internal;Horizontal
EMO004350;TMEIC;E167330HF;IDFCHKWII;250;kW;3000;59;50;4P;1480;NU326;6220;315;;3;;;44;Class F;S1;;Available;;;;405;500;315H;;Internal;Horizontal
EMO004351;TMEIC;E167332HF;IDFCHKWII;250;kW;3000;59;50;4P;1485;NU326;6220;315;;3;;;44;Class F;S1;;Available;;;;700;500;315;;Internal;Horizontal
EMO004352;TMEIC;E167343HF;IDFCHKWII;315;kW;3000;75;50;4P;1485;NU328;6224;355H;;3;;;44;Class F;S1;;Available;;;;700;500;355;;Internal;Horizontal
EMO004353;TMEIC;E167342HF;IDFCHKWII;315;kW;3000;75;50;6P;990 ;NU328;6224;355H;;3;;;44;Class F;S1;;Available;;;;890;595;355;;Internal;Horizontal
EMO004354;Marathon;AK-15194801J;HJN1;160;kW;380;291;50;4P;1473;NU322;6322;355M;;3;0.88;94.8;55;Class F;S1;;Available;;;;;;355;;Internal;Horizontal
EMO004096;Marathon;72105003J;HJN1;55;kW;380;103;50;4P;1485;6314;6314;250M;;3;0.87;93.5;55;Class F;S1;;Available;;;;;;250;;Internal;Horizontal
EMO004097;Marathon;'72107081;HAA;355;kW;3000;85.2;50;6P;985 ;6324;6324;400;;3;0.86;;55;Class F;S1;Start;Available;;;;;;;;Internal;Horizontal
EMO004098;Marathon;72105807J;HJN1;110;kW;380;206;50;6P;990 ;6319;6319;315L;;3;0.86;;55;Class F;S1;Delta;Available;;;;;;;;Internal;Horizontal
