id;status;funcloc;sort_field;material_number;equipment_description;unique_id;qr_code_link;created_at
EMO002096;Available;;;10011044;"AC MOTOR;380V,50Hz,45kW,4P,225M,B3";1094;https://www.safesave.info/MIC.php?id=Fajar-MotorList1094;2023-11-21 08:44:32
EMO000374;Available;;;10020913;"AC MOTOR;380V,50Hz,22kW,4P,180L,B3";1095;https://www.safesave.info/MIC.php?id=Fajar-MotorList1095;2023-11-21 08:44:33
EMO002006;Installed;FP-01-SP2-OCC-T019-A010;SP2.OC.C1/AGT/GB/M/1;10020913;"AC MOTOR;380V,50Hz,22kW,4P,180L,B3";1098;https://www.safesave.info/MIC.php?id=Fajar-MotorList1098;2023-11-21 08:44:34
EMO003637;Installed;FP-01-SP2-NDL-SR13;SP2.ND.PS(F)2/M;10027435;"AC MOTOR;380V,50Hz,55kW,8P,315,B3";1099;https://www.safesave.info/MIC.php?id=Fajar-MotorList1099;2023-11-21 08:44:35
EMO000664;Installed;FP-01-SP2-NDL-SR12;SP2.ND.PS(F)1/M;10010623;"AC MOTOR;380V,50Hz,75kW,4P,280";1100;https://www.safesave.info/MIC.php?id=Fajar-MotorList1100;2023-11-21 08:44:36
EMO003898;Installed;FP-01-SP2-NDL-SR11;SP2.ND.SR11/M;10031810;"AC MOTOR;380V,50Hz,160kW,8P,355SM,B3";1101;https://www.safesave.info/MIC.php?id=Fajar-MotorList1101;2023-11-21 08:44:37
MGM000697;Installed;FP-01-PM2-DRY-GRP1-DC03;PM2.G1.DYC3/DR/GM;10008608;"GR.MOTOR;0.40KW,i=200,GLS-32,TUNG LEE";1102;https://www.safesave.info/MIC.php?id=Fajar-MotorList1102;2023-11-21 08:44:38
EMO003633;Installed;FP-01-SP2-NDL-SR08;SP2.ND.PS(C)1/M;10011118;"AC MOTOR;380V,50Hz,75kW,8P,315M,B3";1103;https://www.safesave.info/MIC.php?id=Fajar-MotorList1103;2023-11-21 08:44:39
EMO001220;Installed;FP-01-SP2-NDL-RF03;SP2.NDL.RF03/JILHA/M;10026497;"AC MOTOR;380V,50Hz,500kW,4P,450A,B3";1104;https://www.safesave.info/MIC.php?id=Fajar-MotorList1104;2023-11-21 08:44:40
EMO002078;Installed;FP-01-SP2-NDL-RF02;SP2.ND.CNR1/GB/M;;"AC MOTOR;3kV,50Hz,400kW,4P,450AB,B3";1105;https://www.safesave.info/MIC.php?id=Fajar-MotorList1105;2023-11-21 08:44:41
