id;status;sort_field;funcloc;material_number;equipment_description;unique_id;qr_code_link;created_at
MGB000948;Installed;TH20.SW01/J1LH01GM01V01-M31;FP-01-PM8-BRS-TH20-SW01;;"GR.BOX;DRE112M6BE5HF,SEW-EURODRIVE";;;2023-11-21 10:37:56
MDO000449;Installed;PM8.CAL-BT-1;FP-01-PM8-CAL-BTR1-DO02;;BLADE,CARBOSET,BONETI,1.5X75X6584;;;2023-11-21 10:37:57
MGB000992;Installed;PM8/CAL-TOP-MD25/GB;FP-01-PM8-CAL-MD25;;"GR.BOX;i=3.8148,D1PSF40,METSO";;;2023-11-21 10:37:58
MGB000993;Installed;PM8/CAL-BTM-MD26/GB;FP-01-PM8-CAL-MD26;;"GR.BOX;i=2.755,ASG-485BG,PW GETRIEBE";;;2023-11-21 10:37:59
MGB000994;Installed;PM8/CAL-PR05-MD27/GB;FP-01-PM8-CAL-MD27;;"GR.BOX;i=2.000,PHA9015P12-RLF-2,SUMITOMO";;;2023-11-21 10:38:00
MDO000448;Installed;PM8.CAL-TP-1;FP-01-PM8-CAL-TPR1-DO01;;BLADE,CARBOSET,BONETI,1.5X75X6584;;;2023-11-21 10:38:02
EMO003941;Installed;PM8.CAS/COM-1/BL/M;FP-01-PM8-CAS-BLCOM1;;"AC MOTOR;380V,50Hz,11kW,6P,160L,V1";;;2023-11-21 10:38:03
EMO003942;Installed;PM8.CAS/COM-2/BL/M;FP-01-PM8-CAS-BLCOM2;;"AC MOTOR;380V,50Hz,11kW,6P,160L,V1";;;2023-11-21 10:38:04
EMO003943;Installed;PM8.CAS/COM-3/BL/M;FP-01-PM8-CAS-BLCOM3;;"AC MOTOR;380V,50Hz,11kW,6P,160L,V1";;;2023-11-21 10:38:05
MFB000305;Installed;PM8.CUT.BL02/DS/M;FP-01-PM8-CUT-RWD1-BL02;;"FAN BLOWER;FT-711,15kW";;;2023-11-21 10:38:06
