id;status;funcloc;sort_field;material_number;equipment_description;unique_id;qr_code_link;created_at
EMO003639;Installed;FP-01-BO3-CMS-SPD4;BO3.CMS/SPD4/M;10022931;"AC MOTOR;380V,50Hz,1.1kW,6P,90L,B3";5776;https://www.safesave.info/MIC.php?id=Fajar-MotorList5776;2023-11-21 09:30:09
EMO003855;Installed;FP-01-BO3-CMS-SPD5;BO3.CMS/SPD5/M;10022931;"AC MOTOR;380V,50Hz,1.1kW,6P,90L,B3";5777;https://www.safesave.info/MIC.php?id=Fajar-MotorList5777;2023-11-21 09:30:10
EMO002429;Installed;FP-01-BO3-CMS-SPD6;BO3.CMS/SPD6/M;10022931;"AC MOTOR;380V,50Hz,1.1kW,6P,90L,B3";5778;https://www.safesave.info/MIC.php?id=Fajar-MotorList5778;2023-11-21 09:30:11
EMO002416;Installed;FP-01-BO3-THS-P020;BO3.THS.P020/MUP1/M;;MOTOR AT MAKE UP PUMP NO 1;5779;https://www.safesave.info/MIC.php?id=Fajar-MotorList5779;2023-11-21 09:30:12
EMO002417;Installed;FP-01-BO3-THS-P021;BO3.THS.P021/MUP2/M;;MOTOR AT MAKE UP PUMP NO 2;5780;https://www.safesave.info/MIC.php?id=Fajar-MotorList5780;2023-11-21 09:30:13
EMO005049;Installed;FP-01-BO3-CMS-MF04;BO3.CMS.MF04/M_DRIVE;10034809;"AC MOTOR;380V,50Hz,4kW,4P,112M,B3";5781;https://www.safesave.info/MIC.php?id=Fajar-MotorList5781;2023-11-21 09:30:14
EMO002431;Installed;FP-01-BO3-CMS-CN01;BO3.CMS.CN01/CGC/M;10034697;MOTOR,1LG0113-4AA7 0-Z,4KW,8.8A,380V;5782;https://www.safesave.info/MIC.php?id=Fajar-MotorList5782;2023-11-21 09:30:15
EMO002411;Installed;FP-01-BO3-THS-P010;BO3.THS.P010/BFWP1/M;;MOTOR AT BOILER FEED WATER PUMP NO 1;5783;https://www.safesave.info/MIC.php?id=Fajar-MotorList5783;2023-11-21 09:30:16
EMO002412;Installed;FP-01-BO3-THS-P011;BO3.THS.P011/BFWP2/M;;MOTOR AT BOILER FEED WATER PUMP NO 2;5784;https://www.safesave.info/MIC.php?id=Fajar-MotorList5784;2023-11-21 09:30:17
EMO003420;Installed;FP-01-BO3-SLG-CN02;BO3.SLG.CN02/SRC1/M;;MOTOR SLAG REMOVAL NO 1;5785;https://www.safesave.info/MIC.php?id=Fajar-MotorList5785;2023-11-21 09:30:18
EMO003419;Installed;FP-01-BO3-SLG-CN03;BO3.SLG.CN03/SRC2/M;;MOTOR SLAG REMOVAL NO 2;5786;https://www.safesave.info/MIC.php?id=Fajar-MotorList5786;2023-11-21 09:30:19
EMO003422;Installed;FP-01-BO3-SLG-CN06;BO3.SLG.CN06/SLC1/M;;MOTOR SLAG CONVEYOR NO 1;5787;https://www.safesave.info/MIC.php?id=Fajar-MotorList5787;2023-11-21 09:30:20
